Codigo,Categoria,Subcategoria,Articulo / Descripcion,Medida,Unidad de Venta,Cantidad por Caja/Paq,Precio Estimado (ARS),Precio (USD),Pagina del Catalogo
131883,ASPIRADORAS,Pala     -      Plano       -    Punta,27 mm - D35396,27 mm,,,223500,157.39,82
131884,ASPIRADORAS,Pala     -      Plano       -    Punta,30 mm - D35405,30 mm,,,217000,152.82,82
131885,ASPIRADORAS,Pala     -      Plano       -    Punta,33 mm - D35411,33 mm,,,244500,172.18,82
131886,ASPIRADORAS,Pala     -      Plano       -    Punta,37 mm - D35427,37 mm,,,211500,148.94,82
131887,ASPIRADORAS,Boquilla Magnética,46 mm - D35455,46 mm,,,243000,171.13,82
131888,ASPIRADORAS,Boquilla Magnética,48 mm - D35461,48 mm,,,217000,152.82,82
131916,ASPIRADORAS,Hexagonal               SDS,Punta x 400 mm - D15279,Punta x 400 mm,,,216500,152.46,82
131917,ASPIRADORAS,Hexagonal               SDS,Plano 75 x 310 mm - D23868,Plano 75 x 310 mm,,,221000,155.63,82
131934,ASPIRADORAS,CATALOGO,12x600 - P-30673,,,,162500,114.44,81
131935,ASPIRADORAS,CATALOGO,14x600 - P-30704,,,,188500,132.75,81
131966,ASPIRADORAS,CATALOGO,16x450 - D07593,,,,154500,108.80,81
131996,ASPIRADORAS,Sierra Circular,255x25 40 Dte B19233,,,,154000,108.45,82
131999,ASPIRADORAS,Sierra Circular,305x25 100 Dte B19386,,,,195500,137.68,82
132000,TIJERA DE RECOLECCION CITRICA,,Tijera Recolectora Cítrica,,c/u,10,16600,11.69,61
132001,TIJERA DE RECOLECCION CITRICA,TIJERAS DE PODA,Tijera Poda - Azul,,c/u,10,17000,11.97,61
132002,TIJERA DE RECOLECCION CITRICA,TIJERAS DE PODA,Tijera Poda - Amarilla,,c/u,10,16200,11.41,61
132003,TIJERA DE RECOLECCION CITRICA,TIJERAS DE PODA,Tijera Poda - Roja,,c/u,10,15600,10.99,61
132004,TIJERA DE RECOLECCION CITRICA,TIJERA MULTIUSO,"Tijera Multiuso ""KASTOR""",,c/u,10,19300,13.59,61
135001,MANIJAS TIPO MINISTERIO PARA PUERTA,Pomela Mixta - Mini,Hierro Pulido c/u - 25,,,,35300,24.86,24
135003,MANIJAS TIPO MINISTERIO PARA PUERTA,Pomela Mixta - Mini,Zinc Amarilla c/u - 25,,,,37600,26.48,24
140001,"ARCOS DE SIERRA ""SIN PAR""",ARCOS DE SIERRA,Arco Calador El Abuelo,,c/u,10,7950,5.60,16
140002,"ARCOS DE SIERRA ""SIN PAR""",ARCOS DE SIERRA,El Abuelo,,c/u,10,8650,6.09,16
140003,"ARCOS DE SIERRA ""SIN PAR""",ARCOS DE SIERRA,Cabo con Perno,,c/u,10,8050,5.67,16
140004,"ARCOS DE SIERRA ""SIN PAR""",ARCOS DE SIERRA,Perno con Mariposa,,c/u,10,7050,4.96,16
140005,CADENAS ESLABON CORTO DERECHO,Argolla Para Guadaña,Argolla P/ Guadaña,,c/u,12,4500,3.17,29
140006,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,"13 x 1,70 Mts c/u - 12","13 x 1,70 Mts c/u",,,19300,13.59,29
140007,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,"13 x 2,20 Mts c/u - 12","13 x 2,20 Mts c/u",,,16700,11.76,29
140008,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,"12 x 1,70 Mts c/u - 12","12 x 1,70 Mts c/u",,,18800,13.24,29
140009,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,"12 x 2,20 Mts c/u - 12","12 x 2,20 Mts c/u",,,19100,13.45,29
140010,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,"10 x 1,70 Mts c/u - 12","10 x 1,70 Mts c/u",,,18100,12.75,29
140011,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,"10 x 2,20 Mts c/u - 12","10 x 2,20 Mts c/u",,,17900,12.61,29
140012,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,"8 x 2,20 Mts","8 x 2,20 Mts",c/u,12,19300,13.59,29
140013,"ARCOS DE SIERRA ""SIN PAR""",ARCOS DE SIERRA,Hojita Para Calador,,c/u,10,6950,4.89,16
140014,ACCESORIOS PARA DESTAPAR CAÑERIAS,Tijera Multiuso,Tijera Multiuso,,c/u,12,11900,8.38,30
140016,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,"15 x 1,70 Mts c/u - 12","15 x 1,70 Mts c/u",,,17700,12.46,29
140017,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,"17 x 1,70 Mts c/u - 12","17 x 1,70 Mts c/u",,,18500,13.03,29
140018,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,"8 x 1,70 Mts","8 x 1,70 Mts",c/u,12,18000,12.68,29
140020,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,N°18 Paq,,,,5050,3.56,29
140021,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,N°15 Paq,,,,3900,2.75,29
140022,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,N°12 Paq,,,,3950,2.78,29
140023,CADENAS ESLABON CORTO DERECHO,CADENAS TIPO NUDO,N°10 Paq,,,,4650,3.27,29
140024,ACCESORIOS PARA DESTAPAR CAÑERIAS,Cinta Para Destapar Cañerías,15 Metros,15 Metros,c/u,12,17700,12.46,30
140025,ACCESORIOS PARA DESTAPAR CAÑERIAS,Cinta Para Destapar Piletas,5 Metros,5 Metros,c/u,12,18300,12.89,30
140026,ACCESORIOS PARA DESTAPAR CAÑERIAS,Cinta Para Destapar Piletas,10 Metros,10 Metros,c/u,12,19400,13.66,30
140027,CADENAS ESLABON CORTO DERECHO,CINTAS PASACABLE,10 Metros c/u - 12,10 Metros c/u,,,18100,12.75,29
140028,CADENAS ESLABON CORTO DERECHO,CINTAS PASACABLE,15 Metros c/u - 12,15 Metros c/u,,,17500,12.32,29
140029,CADENAS ESLABON CORTO DERECHO,CINTAS PASACABLE,20 Metros c/u - 12,20 Metros c/u,,,19400,13.66,29
140030,CADENAS ESLABON CORTO DERECHO,CINTAS PASACABLE,25 Metros c/u - 12,25 Metros c/u,,,18100,12.75,29
140031,CADENAS ESLABON CORTO DERECHO,CINTAS PASACABLE,30 Metros c/u - 12,30 Metros c/u,,,17900,12.61,29
140032,HERRAMIENTAS DE JARDIN,Escobas para Césped Cuerpo PVC y Dientes de Alambre,Escoba Césped - PVC y Dientes de Alambre,,c/u,10,18600,13.10,31
140033,HERRAMIENTAS DE JARDIN,Junta Hojas Para Piletas de Natación,Junta Hoja para Pileta de Natación,,c/u,10,15800,11.13,31
140034,HERRAMIENTAS DE JARDIN,Junta Hojas Para Piletas de Natación,Junta Hoja / Pileta de Natación - Cabo Aluminio,,c/u,10,19100,13.45,31
140037,HERRAMIENTAS DE JARDIN,Tijera Para Ligustro,Tijera Ligustro - Hoja de 25 Cm,Tijera Ligustro - Hoja de 25 Cm,c/u,10,19900,14.01,31
140038,CADENAS ESLABON CORTO DERECHO,CINTAS PASACABLE,7 Metros c/u - 12,7 Metros c/u,,,17000,11.97,29
140039,CADENAS ESLABON CORTO DERECHO,CINTAS PASACABLE,10 Metros c/u - 12,10 Metros c/u,,,18800,13.24,29
140040,CADENAS ESLABON CORTO DERECHO,CINTAS PASACABLE,15 Metros c/u - 12,15 Metros c/u,,,18600,13.10,29
140041,CADENAS ESLABON CORTO DERECHO,CINTAS PASACABLE,20 Metros c/u - 12,20 Metros c/u,,,17200,12.11,29
140042,CADENAS ESLABON CORTO DERECHO,CINTAS PASACABLE,25 Metros c/u - 12,25 Metros c/u,,,17900,12.61,29
140044,ACCESORIOS PARA DESTAPAR CAÑERIAS,,"Fleje Hierro 1,50 Mts, Con Terminal de Bronce","Fleje Hierro 1,50 Mts, Con Terminal de Bronce",c/u,10,18200,12.82,30
140045,ACCESORIOS PARA DESTAPAR CAÑERIAS,,Tirabuzón para Destapar Cañerías,,c/u,10,11400,8.03,30
140046,ACCESORIOS PARA DESTAPAR CAÑERIAS,,Bocha de Aluminio para Destapar Cañerías,,c/u,10,11800,8.31,30
140047,ACCESORIOS PARA DESTAPAR CAÑERIAS,,Manija para Fleje de Destapar Cañerías,,c/u,10,11700,8.24,30
140048,ACCESORIOS PARA DESTAPAR CAÑERIAS,,Cepillo Pita para Destapar Cañerías,,c/u,10,10500,7.39,30
140049,RESORTES,,200 Gusano 60 mm,200 Gusano 60 mm,c/u,10,4200,2.96,13
140050,RESORTES,,201 Gusano 70 mm,201 Gusano 70 mm,c/u,10,4350,3.06,13
140051,RESORTES,,202 Gusano 80 mm,202 Gusano 80 mm,c/u,10,4150,2.92,13
140052,ACCESORIOS PARA DESTAPAR CAÑERIAS,Trincheta y Cutter,Cuchilla Retráctil - Hoja Trapezoidal,,c/u,12,10700,7.54,30
140053,ACCESORIOS PARA DESTAPAR CAÑERIAS,,Disco de Goma para Destapar Cañerías,,c/u,10,13500,9.51,30
140054,ACCESORIOS PARA DESTAPAR CAÑERIAS,Trincheta y Cutter,Cutter Recto,,c/u,12,10400,7.32,30
140057,HERRAMIENTAS DE JARDIN,Juego de Herramientas Para Jardinería,Juego Jardinería 4 Piezas,,c/u,10,19800,13.94,31
140058,ACCESORIOS PARA DESTAPAR CAÑERIAS,Cinta Para Destapar Cañerías,10 Metros,10 Metros,c/u,12,17800,12.54,30
140059,ACCESORIOS PARA DESTAPAR CAÑERIAS,Cinta Para Destapar Cañerías,5 Metros,5 Metros,c/u,12,17800,12.54,30
140069,HERRAMIENTAS DE JARDIN,Barrehojas de PVC,Barrehoja PVC,,c/u,10,19300,13.59,31
140100,HERRAMIENTAS DE JARDIN,Enrolladores de Manguera de Riego,Enrollador de Manguera Con Soporte,,c/u,2,19700,13.87,31
140101,HERRAMIENTAS DE JARDIN,Enrolladores de Manguera de Riego,Enrollador de Manguera Sin Soporte,,c/u,2,18300,12.89,31
140102,HERRAMIENTAS DE JARDIN,Soporte Cuelga Manguera,Cuelga Manguera - PVC,,c/u,10,18500,13.03,31
140103,LINEA RIEGO,Pistola de Riego,Pistola Riego 5 Posiciones - A Rápido - 13100,,c/u,10,5100,3.59,32
140104,LINEA RIEGO,Pistola de Riego,Pistola de Riego - Acople Rápido - 13101,,c/u,10,4750,3.35,32
140105,LINEA RIEGO,Pistola de Riego,Pistola de Riego Max - Acople Rápido - 13105,,c/u,10,4450,3.13,32
140106,LINEA RIEGO,Rociador de Acople Rápido Con Base,Sapito de Riego - 13103,,c/u,10,4800,3.38,32
140107,LINEA RIEGO,Lanza de Riego,Lanza Riego Acople Rápido - 13104,,c/u,10,5250,3.70,32
140108,LINEA RIEGO,Rociador de Acople Rápido Con Base,Rociador Giratorio Con Base - 13106,,c/u,10,5400,3.80,32
140110,LINEA RIEGO,Rociador de Acople Rápido Con Base,Rociador 5 Variables - 13108,,c/u,10,5550,3.91,32
140111,LINEA RIEGO,Regador o Rociador de Acople Rápido Tipo Bayoneta,Rociador Giratorio Bayoneta - 13109,,c/u,10,5350,3.77,32
140112,LINEA RIEGO,Accesorios Acople Rápido Para Riego,Acople Rápido Hembra - 63110,,c/u,10,5700,4.01,32
140113,LINEA RIEGO,Accesorios Acople Rápido Para Riego,Acople Rápido Macho - 63111,,c/u,10,5150,3.63,32
140114,LINEA RIEGO,Accesorios Acople Rápido Para Riego,Unión Manguera Macho / Macho -63112,,c/u,10,4800,3.38,32
140115,LINEA RIEGO,Accesorios Acople Rápido Para Riego,Reparador Manguera A. Rápido -63113,,c/u,10,5100,3.59,32
140117,LINEA RIEGO,Lanza de Riego,Lanza Riego Espiga a Manguera - 15304,,c/u,10,4550,3.20,32
142002,CUCHARAS SOLDADA,"Martillo Carpintero, Con Uña",Martillo Carpintero Uña N°18,,c/u,12,9400,6.62,58
142003,CUCHARAS SOLDADA,"Martillo Carpintero, Con Uña",Martillo Carpintero Uña N°20,,c/u,12,8250,5.81,58
142004,CUCHARAS SOLDADA,"Martillo Carpintero, Con Uña",Martillo Carpintero Uña N°22,,c/u,12,7950,5.60,58
142005,CUCHARAS SOLDADA,"Martillo Carpintero, Con Uña",Martillo Carpintero Uña N°25,,c/u,12,9950,7.01,58
142006,CUCHARAS SOLDADA,"Martillo Carpintero, Con Uña",Martillo Carpintero Uña N°28,,c/u,12,8650,6.09,58
143100,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"0,50",,,,5400,3.80,42
143101,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"0,75",,,,5100,3.59,42
143102,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"1,00",,,,5450,3.84,42
143103,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"1,25",,,,5500,3.87,42
143104,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"1,50",,,,5700,4.01,42
143105,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"1,75",,,,5500,3.87,42
143106,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"2,00",,,,5150,3.63,42
143107,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"2,25",,,,5200,3.66,42
143108,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"2,50",,,,4300,3.03,42
143109,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"2,75",,,,5650,3.98,42
143110,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"3,00",,,,5500,3.87,42
143111,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"3,25",,,,4650,3.27,42
143112,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"3,50",,,,4500,3.17,42
143113,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"3,75",,,,5300,3.73,42
143114,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"4,00",,,,4700,3.31,42
143115,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"4,25",,,,4750,3.35,42
143116,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"4,50",,,,4250,2.99,42
143117,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"4,75",,,,5550,3.91,42
143118,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"5,00",,,,5100,3.59,42
143119,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"5,25",,,,4850,3.42,42
143120,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"5,50",,,,4450,3.13,42
143121,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"5,75",,,,5200,3.66,42
143122,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"6,00",,,,4300,3.03,42
143123,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"6,25",,,,5350,3.77,42
143124,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"6,50",,,,4550,3.20,42
143125,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"6,75",,,,4900,3.45,42
143126,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"7,00",,,,4750,3.35,42
143127,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"7,25",,,,4800,3.38,42
143128,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"7,50",,,,5350,3.77,42
143129,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"7,75",,,,5400,3.80,42
143130,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"8,00",,,,5100,3.59,42
143131,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"8,25",,,,4400,3.10,42
143132,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"8,50",,,,4350,3.06,42
143133,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"8,75",,,,4500,3.17,42
143134,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"9,00",,,,5200,3.66,42
143135,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"9,25",,,,5250,3.70,42
143136,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"9,50",,,,4650,3.27,42
143137,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"9,75",,,,5250,3.70,42
143138,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"10,00",,,,5000,3.52,42
143139,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"10,25",,,,4900,3.45,42
143140,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"10,50",,,,4650,3.27,42
143141,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"10,75",,,,5400,3.80,42
143142,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"11,00",,,,4400,3.10,42
143143,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"11,25",,,,4900,3.45,42
143144,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"11,50",,,,4650,3.27,42
143145,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"11,75",,,,5250,3.70,42
143146,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"12,00",,,,5000,3.52,42
143147,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"12,25",,,,5250,3.70,42
143148,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"12,50",,,,4300,3.03,42
143149,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"12,75",,,,4850,3.42,42
143150,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"13,00",,,,5150,3.63,42
143151,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"13,50",,,,4250,2.99,42
143152,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"14,00",,,,4700,3.31,42
143153,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"14,50",,,,4550,3.20,42
143154,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"15,00",,,,4450,3.13,42
143155,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"15,50",,,,4650,3.27,42
143156,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"16,00",,,,4750,3.35,42
143157,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"16,50",,,,4250,2.99,42
143158,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"17,00",,,,5350,3.77,42
143159,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"17,50",,,,4500,3.17,42
143160,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"18,00",,,,4800,3.38,42
143161,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"18,50",,,,5300,3.73,42
143162,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"19,00",,,,5000,3.52,42
143163,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"19,50",,,,5500,3.87,42
143164,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"20,00",,,,5450,3.84,42
143165,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"13,25",,,,4350,3.06,42
143166,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"13,75",,,,5550,3.91,42
143167,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"14,25",,,,4300,3.03,42
143168,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"14,75",,,,4300,3.03,42
143169,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"15,25",,,,5650,3.98,42
143170,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"15,75",,,,5550,3.91,42
143171,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"16,25",,,,5100,3.59,42
143172,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"16,75",,,,5100,3.59,42
143173,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"17,25",,,,5300,3.73,42
143174,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"17,75",,,,4900,3.45,42
143175,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"18,25",,,,4400,3.10,42
143176,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"18,75",,,,4300,3.03,42
143177,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"19,25",,,,4750,3.35,42
143178,MECHAS ACERO RAPIDO,Mecha Ezeta TCC Acero Rápido,"19,75",,,,5450,3.84,42
143200,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,3,,,,22800,16.06,43
143201,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,4,,,,24200,17.04,43
143202,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,5,,,,24800,17.46,43
143203,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,6,,,,19300,13.59,43
143205,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,8,,,,24300,17.11,43
143206,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,10,,,,20300,14.30,43
143207,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,12,,,,22600,15.92,43
143208,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,13,,,,22200,15.63,43
143209,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,14,,,,21300,15.00,43
143210,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,16,,,,20700,14.58,43
143211,JUEGOS DE MECHAS,Mecha Ezeta Widia Corta,18,,,,20900,14.72,43
143215,JUEGOS DE MECHAS,Mecha Max Muro Widia Corta,5,,,,20900,14.72,43
143216,JUEGOS DE MECHAS,Mecha Max Muro Widia Corta,6,,,,19800,13.94,43
143217,JUEGOS DE MECHAS,Mecha Max Muro Widia Corta,8,,,,22100,15.56,43
143218,JUEGOS DE MECHAS,Mecha Max Muro Widia Corta,10,,,,19500,13.73,43
143219,JUEGOS DE MECHAS,Mecha Max Muro Widia Corta,12,,,,22100,15.56,43
143300,JUEGOS DE MECHAS,Mecha Ezeta Widia Larga - 400 mm,6,,,,24700,17.39,43
143301,JUEGOS DE MECHAS,Mecha Ezeta Widia Larga - 400 mm,8,,,,21000,14.79,43
143302,JUEGOS DE MECHAS,Mecha Ezeta Widia Larga - 400 mm,10,,,,23500,16.55,43
143303,JUEGOS DE MECHAS,Mecha Ezeta Widia Larga - 400 mm,12,,,,24100,16.97,43
143304,JUEGOS DE MECHAS,Mecha Ezeta Widia Larga - 400 mm,13,,,,24100,16.97,43
143305,JUEGOS DE MECHAS,Mecha Ezeta Widia Larga - 400 mm,14,,,,20300,14.30,43
143306,JUEGOS DE MECHAS,Mecha Ezeta Widia Larga - 400 mm,16,,,,19700,13.87,43
143307,JUEGOS DE MECHAS,Mecha Ezeta Widia Larga - 400 mm,18,,,,20000,14.08,43
143308,JUEGOS DE MECHAS,Mecha Ezeta Widia Larga - 400 mm,20,,,,22700,15.99,43
143309,JUEGOS DE MECHAS,Mecha Ezeta Widia Larga - 400 mm,25,,,,23700,16.69,43
143354,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"2,00",,,,5250,3.70,42
143355,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"2,25",,,,4500,3.17,42
143356,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"2,50",,,,5400,3.80,42
143357,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"2,75",,,,5000,3.52,42
143358,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"3,00",,,,5400,3.80,42
143359,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"3,25",,,,5400,3.80,42
143360,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"3,50",,,,4900,3.45,42
143361,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"3,75",,,,5650,3.98,42
143362,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"4,00",,,,5100,3.59,42
143363,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"4,25",,,,5200,3.66,42
143364,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"4,50",,,,5200,3.66,42
143365,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"4,75",,,,5550,3.91,42
143366,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"5,00",,,,5200,3.66,42
143367,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"5,25",,,,4500,3.17,42
143368,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"5,50",,,,4350,3.06,42
143369,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"5,75",,,,4900,3.45,42
143370,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"6,00",,,,4700,3.31,42
143371,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"6,25",,,,4650,3.27,42
143372,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"6,50",,,,4350,3.06,42
143373,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"6,75",,,,5000,3.52,42
143374,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"7,00",,,,4700,3.31,42
143375,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"7,25",,,,4950,3.49,42
143376,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"7,50",,,,4350,3.06,42
143377,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"7,75",,,,5500,3.87,42
143378,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"8,00",,,,4350,3.06,42
143379,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"8,25",,,,5550,3.91,42
143380,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"8,50",,,,5550,3.91,42
143381,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"8,75",,,,5150,3.63,42
143382,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"9,00",,,,5000,3.52,42
143383,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"9,25",,,,4950,3.49,42
143384,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"9,50",,,,5100,3.59,42
143385,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"9,75",,,,5450,3.84,42
143386,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"10,00",,,,5600,3.94,42
143387,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"10,25",,,,4900,3.45,42
143388,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"10,50",,,,5450,3.84,42
143389,MECHAS ACERO RAPIDO,Mecha Ezeta MAX Acero Rápido,"10,75",,,,5250,3.70,42
